2002.01.11 11:24 B D:\doe\media\images\stamps.jpg <-- ccat /home2/vasur stamps.jpg
2002.01.24 10:44 B D:\doe1\media\images\u5.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u5.gif
2002.01.24 10:44 B D:\doe1\media\images\u5.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u5.jpg
2002.01.24 10:44 B D:\doe1\media\images\u6.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u6.gif
2002.01.24 10:44 B D:\doe1\media\images\u6.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u6.jpg
2002.01.24 10:44 B D:\doe1\media\images\u7.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u7.gif
2002.01.24 10:44 B D:\doe1\media\images\u7.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u7.jpg
2002.01.24 10:44 B D:\doe1\media\images\u8.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u8.gif
2002.01.24 10:44 B D:\doe1\media\images\u8.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u8.jpg
2002.01.24 10:44 B D:\doe1\media\images\u9.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u9.gif
2002.01.24 10:44 B D:\doe1\media\images\u9.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u9.jpg
2002.01.24 10:44 B D:\doe1\media\images\unitimage.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images unitimage.gif
2002.01.24 10:44 B D:\doe1\media\images\WS_FTP.LOG --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images WS_FTP.LOG
2002.01.24 10:44 B D:\doe1\media\images\xmark.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images xmark.jpg
2002.01.24 10:44 B D:\doe1\media\images\y1.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images y1.jpg
2002.01.24 10:44 B D:\doe1\media\images\y2.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images y2.jpg
2002.01.30 13:50 B d:\doe1\media\images\check.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images check.jpg
2002.01.30 13:50 B d:\doe1\media\images\checkMe.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images checkMe.gif
2002.01.30 13:50 B d:\doe1\media\images\comoro.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images comoro.gif
2002.01.30 13:50 B d:\doe1\media\images\culturalNote.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images culturalNote.gif
2002.01.30 13:50 B d:\doe1\media\images\eafrica.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images eafrica.gif
2002.01.30 13:50 B d:\doe1\media\images\empty.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images empty.gif
2002.01.30 13:50 B d:\doe1\media\images\entercourse.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images entercourse.gif
2002.01.30 13:50 B d:\doe1\media\images\entercourse.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images entercourse.jpg
2002.01.30 13:50 B d:\doe1\media\images\grammarNote.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images grammarNote.gif
2002.01.30 13:50 B d:\doe1\media\images\happy.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images happy.gif
2002.01.30 13:50 B d:\doe1\media\images\happysmall.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images happysmall.gif
2002.01.30 13:50 B d:\doe1\media\images\homePageComposite.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images homePageComposite.gif
2002.01.30 13:50 B d:\doe1\media\images\kikoLogo.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images kikoLogo.gif
2002.01.30 13:50 B d:\doe1\media\images\kweli.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images kweli.gif
2002.01.30 13:50 B d:\doe1\media\images\lamu.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images lamu.gif
2002.01.30 13:50 B d:\doe1\media\images\link.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images link.gif
2002.01.30 13:50 B d:\doe1\media\images\mtkil.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images mtkil.jpg
2002.01.30 13:50 B d:\doe1\media\images\nyerere.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images nyerere.jpg
2002.01.30 13:50 B d:\doe1\media\images\qtControllerInfo.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images qtControllerInfo.gif
2002.01.30 13:50 B d:\doe1\media\images\question.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images question.jpg
2002.01.30 13:50 B d:\doe1\media\images\sad.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images sad.gif
2002.01.30 13:50 B d:\doe1\media\images\sadsmall.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images sadsmall.gif
2002.01.30 13:50 B d:\doe1\media\images\shim.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images shim.gif
2002.01.30 13:50 B d:\doe1\media\images\si_kweli.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images si_kweli.gif
2002.01.30 13:50 B d:\doe1\media\images\speak.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images speak.gif
2002.01.30 13:50 B d:\doe1\media\images\stamps.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images stamps.jpg
2002.01.30 13:50 B d:\doe1\media\images\Thumbs.db --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images Thumbs.db
2002.01.30 13:50 B d:\doe1\media\images\time1.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time1.gif
2002.01.30 13:50 B d:\doe1\media\images\time10.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time10.gif
2002.01.30 13:50 B d:\doe1\media\images\time11.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time11.gif
2002.01.30 13:50 B d:\doe1\media\images\time12.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time12.gif
2002.01.30 13:50 B d:\doe1\media\images\time13.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time13.gif
2002.01.30 13:50 B d:\doe1\media\images\time14.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time14.gif
2002.01.30 13:50 B d:\doe1\media\images\time15.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time15.gif
2002.01.30 13:50 B d:\doe1\media\images\time2.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time2.gif
2002.01.30 13:50 B d:\doe1\media\images\time3.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time3.gif
2002.01.30 13:50 B d:\doe1\media\images\time4.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time4.gif
2002.01.30 13:50 B d:\doe1\media\images\time5.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time5.gif
2002.01.30 13:50 B d:\doe1\media\images\time6.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time6.gif
2002.01.30 13:50 B d:\doe1\media\images\time7.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time7.gif
2002.01.30 13:50 B d:\doe1\media\images\time8.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time8.gif
2002.01.30 13:50 B d:\doe1\media\images\time9.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images time9.gif
2002.01.30 13:50 B d:\doe1\media\images\u.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u.gif
2002.01.30 13:50 B d:\doe1\media\images\u03l01b.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u03l01b.gif
2002.01.30 13:50 B d:\doe1\media\images\u03l01c.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u03l01c.gif
2002.01.30 13:50 B d:\doe1\media\images\u1.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1.gif
2002.01.30 13:50 B d:\doe1\media\images\u1.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1.jpg
2002.01.30 13:50 B d:\doe1\media\images\u10.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u10.gif
2002.01.30 13:50 B d:\doe1\media\images\u10.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u10.jpg
2002.01.30 13:50 B d:\doe1\media\images\u11.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u11.gif
2002.01.30 13:50 B d:\doe1\media\images\u11.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u11.jpg
2002.01.30 13:50 B d:\doe1\media\images\u12.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u12.gif
2002.01.30 13:50 B d:\doe1\media\images\u12.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u12.jpg
2002.01.30 13:50 B d:\doe1\media\images\u1s1l1.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1s1l1.jpg
2002.01.30 13:50 B d:\doe1\media\images\u1s1l1a.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1s1l1a.jpg
2002.01.30 13:50 B d:\doe1\media\images\u1s3l2.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1s3l2.jpg
2002.01.30 13:50 B d:\doe1\media\images\u1s3l2a.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1s3l2a.jpg
2002.01.30 13:50 B d:\doe1\media\images\u1s3l2b.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u1s3l2b.jpg
2002.01.30 13:50 B d:\doe1\media\images\u2.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u2.gif
2002.01.30 13:50 B d:\doe1\media\images\u2.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u2.jpg
2002.01.30 13:50 B d:\doe1\media\images\u3.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u3.gif
2002.01.30 13:50 B d:\doe1\media\images\u3.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u3.jpg
2002.01.30 13:50 B d:\doe1\media\images\u4.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u4.gif
2002.01.30 13:50 B d:\doe1\media\images\u4.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u4.jpg
2002.01.30 13:50 B d:\doe1\media\images\u5.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u5.gif
2002.01.30 13:50 B d:\doe1\media\images\u5.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u5.jpg
2002.01.30 13:50 B d:\doe1\media\images\u6.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u6.gif
2002.01.30 13:50 B d:\doe1\media\images\u6.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u6.jpg
2002.01.30 13:50 B d:\doe1\media\images\u7.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u7.gif
2002.01.30 13:50 B d:\doe1\media\images\u7.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u7.jpg
2002.01.30 13:50 B d:\doe1\media\images\u8.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u8.gif
2002.01.30 13:50 B d:\doe1\media\images\u8.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u8.jpg
2002.01.30 13:50 B d:\doe1\media\images\u9.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u9.gif
2002.01.30 13:50 B d:\doe1\media\images\u9.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images u9.jpg
2002.01.30 13:50 B d:\doe1\media\images\unitimage.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/images unitimage.gif
102.03.25 13:54 B H:\doe1\media\images\check.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images check.jpg
102.03.25 13:54 B H:\doe1\media\images\checkMe.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images checkMe.gif
102.03.25 13:54 B H:\doe1\media\images\comoro.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images comoro.gif
102.03.25 13:54 B H:\doe1\media\images\culturalNote.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images culturalNote.gif
102.03.25 13:54 B H:\doe1\media\images\eafrica.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images eafrica.gif
102.03.25 13:54 B H:\doe1\media\images\empty.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images empty.gif
102.03.25 13:54 B H:\doe1\media\images\entercourse.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images entercourse.gif
102.03.25 13:54 B H:\doe1\media\images\entercourse.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images entercourse.jpg
102.03.25 13:54 B H:\doe1\media\images\grammarNote.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images grammarNote.gif
102.03.25 13:54 B H:\doe1\media\images\happy.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images happy.gif
102.03.25 13:54 B H:\doe1\media\images\happysmall.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images happysmall.gif
102.03.25 13:54 B H:\doe1\media\images\homePageComposite.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images homePageComposite.gif
102.03.25 13:54 B H:\doe1\media\images\kikoLogo.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images kikoLogo.gif
102.03.25 13:54 B H:\doe1\media\images\kweli.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images kweli.gif
102.03.25 13:54 B H:\doe1\media\images\lamu.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images lamu.gif
102.03.25 13:54 B H:\doe1\media\images\link.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images link.gif
102.03.25 13:54 B H:\doe1\media\images\mtkil.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images mtkil.jpg
102.03.25 13:54 B H:\doe1\media\images\nyerere.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images nyerere.jpg
102.03.25 13:54 B H:\doe1\media\images\qtControllerInfo.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images qtControllerInfo.gif
102.03.25 13:54 B H:\doe1\media\images\question.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images question.jpg
102.03.25 13:54 B H:\doe1\media\images\sad.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images sad.gif
102.03.25 13:54 B H:\doe1\media\images\sadsmall.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images sadsmall.gif
102.03.25 13:54 B H:\doe1\media\images\shim.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images shim.gif
102.03.25 13:54 B H:\doe1\media\images\si_kweli.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images si_kweli.gif
102.03.25 13:54 B H:\doe1\media\images\speak.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images speak.gif
102.03.25 13:54 B H:\doe1\media\images\stamps.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images stamps.jpg
102.03.25 13:54 B H:\doe1\media\images\Thumbs.db --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images Thumbs.db
102.03.25 13:54 B H:\doe1\media\images\time1.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time1.gif
102.03.25 13:54 B H:\doe1\media\images\time10.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time10.gif
102.03.25 13:54 B H:\doe1\media\images\time11.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time11.gif
102.03.25 13:54 B H:\doe1\media\images\time12.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time12.gif
102.03.25 13:54 B H:\doe1\media\images\time13.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time13.gif
102.03.25 13:54 B H:\doe1\media\images\time14.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time14.gif
102.03.25 13:54 B H:\doe1\media\images\time15.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time15.gif
102.03.25 13:54 B H:\doe1\media\images\time2.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time2.gif
102.03.25 13:54 B H:\doe1\media\images\time3.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time3.gif
102.03.25 13:54 B H:\doe1\media\images\time4.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time4.gif
102.03.25 13:54 B H:\doe1\media\images\time5.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time5.gif
102.03.25 13:54 B H:\doe1\media\images\time6.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time6.gif
102.03.25 13:54 B H:\doe1\media\images\time7.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time7.gif
102.03.25 13:54 B H:\doe1\media\images\time8.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time8.gif
102.03.25 13:54 B H:\doe1\media\images\time9.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images time9.gif
102.03.25 13:54 B H:\doe1\media\images\u.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u.gif
102.03.25 13:54 B H:\doe1\media\images\u03l01b.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u03l01b.gif
102.03.25 13:54 B H:\doe1\media\images\u03l01c.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u03l01c.gif
102.03.25 13:54 B H:\doe1\media\images\u1.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1.gif
102.03.25 13:54 B H:\doe1\media\images\u1.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u1.jpg
102.03.25 13:54 B H:\doe1\media\images\u10.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u10.gif
102.03.25 13:54 B H:\doe1\media\images\u10.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u10.jpg
102.03.25 13:54 B H:\doe1\media\images\u11.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u11.gif
102.03.25 13:54 B H:\doe1\media\images\u11.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u11.jpg
102.03.25 13:54 B H:\doe1\media\images\u12.gif --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/media/images u12.gif
